dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,0,19,6,53,26,29,14,39,20,53,28,21,8,45,26,37,24,53,32,49,32
20,19,0,73,30,103,44,91,44,121,60,91,42,251,130,221,118,147,84,245,134,197,110
30,29,0,67,20,177,78,225,108,319,160,397,198,391,204,379,196,439,236,387,204,479,260
40,39,0,175,72,385,182,529,260,681,340,499,246,795,404,793,408,637,336,661,352,903,476
50,49,0,341,152,205,82,1015,504,951,478,689,348,893,458,1067,548,997,516,1189,616,969,516
60,59,0,613,282,741,354,743,358,827,412,1037,512,1559,796,1491,750,1609,822,1639,852,1615,842
70,69,0,923,436,1405,684,1309,646,1589,794,2161,1078,2113,1070,2177,1112,2313,1176,2509,1284,2411,1246
80,79,0,539,238,589,264,2377,1180,2787,1386,2401,1206,2739,1388,3143,1596,3175,1614,3135,1610,3427,1758
90,89,0,1467,702,1813,874,2323,1146,2975,1484,2973,1490,3595,1812,3753,1892,3487,1774,4125,2098,4055,2078
100,99,0,847,382,1717,828,2661,1306,3657,1820,3687,1848,4453,2236,4915,2490,4967,2512,4521,2302,4989,2554
110,109,0,1283,592,2091,1010,3853,1910,4167,2076,5369,2684,4947,2484,4837,2440,5277,2676,6487,3294,5861,2990
120,119,0,3105,1520,2951,1436,3619,1790,6007,2998,4955,2468,5247,2636,6267,3162,6759,3426,7233,3666,6621,3376
130,129,0,2365,1132,4107,2014,4639,2298,4899,2440,7203,3610,7477,3764,8021,4038,6905,3500,7691,3896,7791,3966
140,139,0,2193,1042,3675,1792,5665,2798,7075,3530,8359,4180,7705,3870,9261,4662,8761,4432,10483,5302,9333,4740
150,149,0,859,368,3553,1726,6267,3106,8269,4128,6753,3372,10103,5076,11357,5716,9155,4620,10619,5374,11875,6014
160,159,0,4123,1998,7089,3504,7105,3520,8927,4450,9961,4978,9967,4998,10947,5504,13175,6642,14673,7408,13521,6844
170,169,0,3283,1570,6761,3340,6551,3236,10931,5456,11523,5766,12633,6342,12291,6180,12709,6398,14347,7244,14321,7250
180,179,0,2475,1162,7111,3500,7993,3956,11041,5506,11903,5942,14097,7070,14683,7380,14393,7258,14241,7196,15081,7634
190,189,0,4793,2322,9477,4696,9727,4824,10571,5272,14627,7314,15011,7526,15673,7884,16907,8516,17195,8680,17709,8958
200,199,0,7063,3460,8311,4100,9707,4816,14343,7172,15057,7520,18463,9268,17947,9012,19051,9590,18101,9132,19877,10048
210,209,0,5167,2498,9435,4650,12395,6158,16489,8234,16115,8062,16853,8456,20511,10304,18931,9522,19331,9754,20767,10494
220,219,0,5659,2742,11165,5516,14247,7074,15383,7666,19519,9768,18661,9338,21707,10898,22439,11286,22229,11206,24733,12486
230,229,0,6245,3036,14133,7014,14361,7128,17991,8976,20005,10004,18545,9294,24357,12228,24729,12432,25271,12738,26693,13466
240,239,0,5163,2478,10859,5352,18165,9038,19697,9818,21821,10914,20709,10392,26181,13134,26185,13172,27203,13694,27361,13802
250,249,0,4803,2298,14409,7128,19813,9854,19163,9552,22999,11502,24293,12184,30763,15438,28101,14130,30135,15168,29085,14674
260,259,0,6591,3192,14897,7370,17753,8820,19761,9848,24459,12238,25521,12790,30505,15326,32627,16392,33873,17052,35339,17804
270,269,0,9757,4770,16559,8200,20015,9950,28589,14286,28451,14230,30817,15452,30903,15510,31279,15726,33251,16740,36069,18174
280,279,0,13957,6872,19105,9470,26447,13188,19743,9830,29345,14684,30919,15488,36363,18242,35367,17764,36293,18258,39605,19946
290,289,0,9753,4758,20249,10044,31061,15488,30347,15154,32581,16296,33269,16668,39983,20042,36275,18230,37987,19116,40653,20476
300,299,0,10049,4904,20225,10016,27609,13754,31635,15792,34495,17242,40271,20178,38459,19292,43277,21736,42205,21220,44653,22482
310,309,0,10811,5274,19977,9886,28763,14310,28703,14316,36309,18160,40075,20074,41769,20948,46315,23248,44123,22196,46533,23426
320,319,0,15795,7780,21011,10408,31821,15838,32635,16284,41721,20872,44659,22354,44553,22348,42461,21322,46533,23400,50587,25458
330,329,0,12761,6250,21491,10640,33231,16556,38561,19240,45875,22940,44741,22418,48219,24180,53997,27106,49331,24808,54185,27260
340,339,0,18407,9074,29643,14732,34507,17188,40439,20188,43497,21744,47003,23540,51497,25822,55229,27726,52691,26482,58341,29346
350,349,0,13885,6796,19737,9754,31787,15812,35959,17928,48551,24280,51061,25570,55347,27746,58957,29596,59489,29886,55475,27920
