dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,20,0,20,1,20,6,20,8,20,12,20,12,20,19,20,15,20,26,20,19,20,23,
20,90,0,90,9,90,11,90,46,90,48,90,65,90,54,90,74,90,86,90,79,90,71,
30,210,0,210,6,210,72,210,95,210,165,210,133,210,148,210,170,210,150,210,154,210,150,
40,380,0,380,167,380,93,380,173,380,247,380,239,380,266,380,295,380,289,380,297,380,297,
50,600,0,600,70,600,214,600,346,600,438,600,359,600,422,600,481,600,421,600,465,600,493,
60,870,0,870,195,870,257,870,380,870,395,870,519,870,637,870,605,870,610,870,708,870,660,
70,1190,0,1190,314,1190,513,1190,692,1190,690,1190,721,1190,782,1190,726,1190,858,1190,899,1190,859,
80,1560,0,1560,217,1560,433,1560,635,1560,758,1560,956,1560,1073,1560,1151,1560,1104,1560,1082,1560,1120,
90,1980,0,1980,434,1980,581,1980,1170,1980,1133,1980,1254,1980,1512,1980,1402,1980,1475,1980,1522,1980,1554,
100,2450,0,2450,325,2450,836,2450,1107,2450,1369,2450,1539,2450,1788,2450,1790,2450,1672,2450,1808,2450,1940,
110,2970,0,2970,698,2970,1011,2970,1423,2970,1958,2970,1467,2970,1966,2970,1816,2970,2185,2970,2310,2970,2273,
120,3540,0,3540,592,3540,1490,3540,1634,3540,1666,3540,1884,3540,2210,3540,2140,3540,2606,3540,2592,3540,2518,
130,4160,0,4160,872,4160,1685,4160,1658,4160,2170,4160,2506,4160,2689,4160,2565,4160,2960,4160,2853,4160,3160,
140,4830,0,4830,1124,4830,1708,4830,1990,4830,2516,4830,2968,4830,3212,4830,3152,4830,3403,4830,3759,4830,3498,
150,5550,0,5550,1075,5550,2203,5550,2444,5550,2497,5550,3193,5550,3455,5550,3899,5550,3944,5550,4085,5550,3805,
160,6320,0,6320,1591,6320,2019,6320,3263,6320,2914,6320,4065,6320,4399,6320,4359,6320,4426,6320,4614,6320,4281,
170,7140,0,7140,1912,7140,2436,7140,3292,7140,3966,7140,4306,7140,4338,7140,4927,7140,5435,7140,5648,7140,5077,
180,8010,0,8010,1629,8010,2233,8010,3765,8010,4252,8010,4774,8010,5182,8010,5532,8010,5460,8010,5438,8010,6152,
190,8930,0,8930,1842,8930,3492,8930,4623,8930,4329,8930,5839,8930,5900,8930,5868,8930,5996,8930,6436,8930,6899,
200,9900,0,9900,2535,9900,3455,9900,4596,9900,5150,9900,5535,9900,6612,9900,6619,9900,7444,9900,6855,9900,7102,
210,10920,0,10920,2339,10920,2379,10920,5432,10920,6126,10920,7122,10920,7282,10920,8013,10920,7699,10920,7840,10920,8120,
220,11990,0,11990,2666,11990,4137,11990,6098,11990,6774,11990,6891,11990,7873,11990,8400,11990,7950,11990,8834,11990,8562,
230,13110,0,13110,2945,13110,4546,13110,6465,13110,6090,13110,8128,13110,7966,13110,9586,13110,9626,13110,9778,13110,9764,
240,14280,0,14280,4465,14280,5167,14280,6654,14280,8034,14280,9063,14280,9105,14280,10291,14280,10449,14280,10165,14280,10923,
250,15500,0,15500,3001,15500,4875,15500,6352,15500,8355,15500,8994,15500,9692,15500,11050,15500,10731,15500,11106,15500,11469,
260,16770,0,16770,3787,16770,6036,16770,7749,16770,8944,16770,11058,16770,10820,16770,11223,16770,12074,16770,12124,16770,12143,
270,18090,0,18090,5206,18090,6444,18090,8850,18090,10170,18090,11814,18090,10669,18090,12440,18090,13188,18090,13291,18090,13050,
280,19460,0,19460,2837,19460,7628,19460,10924,19460,10552,19460,12595,19460,11951,19460,13117,19460,13795,19460,13768,19460,13872,
290,20880,0,20880,3736,20880,8323,20880,9635,20880,12982,20880,12787,20880,13928,20880,13716,20880,15382,20880,15268,20880,15627,
300,22350,0,22350,4076,22350,8877,22350,10809,22350,12699,22350,13482,22350,14792,22350,15125,22350,16108,22350,15652,22350,16712,
310,23870,0,23870,3989,23870,8269,23870,9827,23870,13223,23870,13395,23870,15684,23870,16013,23870,17220,23870,15186,23870,17861,
320,25440,0,25440,5310,25440,8458,25440,12664,25440,13633,25440,15775,25440,14858,25440,17926,25440,17949,25440,18213,25440,19102,
330,27060,0,27060,6467,27060,10313,27060,14233,27060,14328,27060,16425,27060,18324,27060,17850,27060,18453,27060,19092,27060,20285,
340,28730,0,28730,4838,28730,10404,28730,14458,28730,16603,28730,17634,28730,17497,28730,18647,28730,21096,28730,20454,28730,20094,
350,30450,0,30450,7157,30450,12088,30450,11711,30450,17863,30450,19818,30450,18836,30450,20120,30450,20824,30450,22301,30450,22633,
360,32220,0,32220,6640,32220,10783,32220,13116,32220,18793,32220,19909,32220,19809,32220,21851,32220,21508,32220,23722,32220,23767,
370,34040,0,34040,6746,34040,11412,34040,16877,34040,17147,34040,22005,34040,22058,34040,23386,34040,24536,34040,24028,34040,25568,
