dataNum,0.0 comp,0.0 swap,0.1 comp,0.1 swap,0.2 comp,0.2 swap,0.3 comp,0.3 swap,0.4 comp,0.4 swap,0.5 comp,0.5 swap,0.6 comp,0.6 swap,0.7 comp,0.7 swap,0.8 comp,0.8 swap,0.9 comp,0.9 swap,1.0 comp,1.0 swap,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,9,0,27,4,45,14,27,10,45,28,45,18,45,20,54,28,45,25,54,38,54,35,
20,19,0,133,32,152,42,152,62,190,96,114,50,152,74,190,94,190,96,190,133,190,111,
30,29,0,348,94,319,107,232,76,348,179,406,170,348,202,406,248,435,242,435,222,406,266,
40,39,0,429,100,702,164,819,330,741,311,780,360,780,376,702,402,741,423,741,459,819,500,
50,49,0,735,160,1176,312,882,274,1176,494,1078,350,1127,549,1225,629,1127,598,1225,688,1127,675,
60,59,0,1475,308,1180,140,1003,270,1239,586,1593,690,1829,719,1652,762,1534,816,1652,953,1770,876,
70,69,0,828,97,1587,516,2001,590,2346,1030,2139,1016,2001,989,2001,1022,2415,1173,2346,1166,2208,1244,
80,79,0,2133,502,2923,836,2370,796,2765,1037,3002,1276,2765,1407,3160,1593,2923,1701,3002,1778,3081,1839,
90,89,0,2670,302,3382,656,3560,1062,3738,1262,3827,1556,3738,1651,3738,1556,3916,2004,3471,1960,3827,2023,
100,99,0,4356,772,4554,1024,4059,1099,4554,1922,4158,1807,4653,2164,4653,2564,4653,2375,4950,2741,4653,2600,
110,109,0,5559,1134,5232,1932,5559,2093,5668,2220,5777,1955,5123,2558,5777,2476,5668,2883,5995,3032,5886,3174,
120,119,0,5355,952,5831,1492,6426,2484,6069,2175,6902,3316,6188,2717,6783,3568,6426,3285,6545,3473,6783,3838,
130,129,0,8385,886,6966,1278,7224,2494,7740,2693,8256,3472,7998,3637,6708,3806,7998,3905,7998,3240,8127,4274,
